Filename,Page,Encrypt,ObjStm,JavaScript,AA,OpenAction,AcroForm,RichMedia,XFA,Colors,Label
benign_2342.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_9220.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_2310.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_7061.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_2992.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_8118.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_4882.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_3547.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_6626.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_4123.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_1668.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_23.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_8024.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_4394.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_8830.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_4512.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_7204.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_3452.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_1317.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_8700.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_3191.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_8247.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_3471.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_3381.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_118.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_2968.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_6059.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_6033.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_3.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_6815.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_7388.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_8202.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_5213.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_6494.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_5586.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_611.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_3687.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_4432.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_3902.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_5278.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_905.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_3249.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_1946.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_8645.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_1600.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_4407.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_1212.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_9631.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_8610.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_325.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_1648.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_6586.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_3554.pdf,1,0,0,0,0,1,0,0,0,0,Benign
benign_2834.pdf,1,0,0,0,0,1,0,0,0,0,Benign
